species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
12,Celastrus sp1,4.0 cm,wood,LW18BR1,C2023-5293,452,3.31,0.27,89.81,69.38,16.22,23.16,7.26,0.88,5.8,0.36,0.37,0.83
12,Celastrus sp1,4.0 cm,wood,LW18BR2,C2023-5294,451,3.83,0.23,88.99,69.34,14.97,27.7,7.94,1.75,7.3,0.34,0.29,0.41
16,Millettia leptobotrya,2.0 cm,wood,LW19SR1,C2023-5295,491,15.63,0.15,85.94,70.32,22.1,8.7,4.03,0.62,82.7,0.76,1.04,0.31
16,Millettia leptobotrya,2.0 cm,wood,LW19SR2,C2023-5296,491,16.78,ND,84.5,69.16,19.51,11.12,4.04,0.75,99,0.72,0.75,0.1
16,Millettia leptobotrya,4.0 cm,wood,LW19BR1,C2023-5297,490,15.43,0.16,80.48,66.69,17.94,9.27,4.45,0.55,79.1,0.56,2.17,0.16
16,Millettia leptobotrya,4.0 cm,wood,LW19BR2,C2023-5298,487,17.13,0.26,82.08,67.06,17.76,11.8,4.14,0.57,134.6,0.55,1.05,0.31
17,Gnetum montanum,2.0 cm,wood,LW20SR1,C2023-5299,463,12.73,0.22,85.36,73.3,17.41,16.18,8.77,0.95,290.8,0.86,0.27,2.38
17,Gnetum montanum,2.0 cm,wood,LW20SR2,C2023-5300,474,12.15,0.1,81.66,70.64,15.32,14.27,6.09,0.96,246.8,0.69,0.24,0.1
17,Gnetum montanum,4.0 cm,wood,LW20BR1,C2023-5301,464,16.46,0.47,81.79,68.57,19.82,25.13,7.05,1.25,318.8,1.01,0.39,0.51
17,Gnetum montanum,4.0 cm,wood,LW20BR2,C2023-5302,465,14.95,0.62,80.95,70.33,14.36,19.88,7.22,1.09,300.7,0.99,0.28,0.31
13,Gouania leptostachya,2.0 cm,wood,LW21SR1,C2023-5303,478,8.2,0.45,81.56,62.18,17.55,12.05,6.54,1.32,64.4,0.96,1.98,0.21
13,Gouania leptostachya,2.0 cm,wood,LW21SR2,C2023-5304,470,7.62,0.66,82.54,62.13,17.76,14.58,6.11,1.3,51.3,1.15,2.2,0.52
13,Gouania leptostachya,4.0 cm,wood,LW21BR1,C2023-5305,480,8.01,0.28,82.65,63,18.16,10.8,6.33,1.3,55.6,1.18,1.52,0.72
13,Gouania leptostachya,4.0 cm,wood,LW21BR2,C2023-5306,486,7.49,0.17,82.08,63.26,17.94,10.4,8.4,1.29,68.9,0.88,2.28,0.31
14,Tetrastigma planicaule,2.0 cm,wood,LW22SR1,C2023-5307,399,8.79,0.51,88.35,73.74,23.14,62.45,14.11,7.54,186.5,1.23,0.33,1.3
14,Tetrastigma planicaule,2.0 cm,wood,LW22SR2,C2023-5308,400,9.61,0.71,91.77,78.54,26.52,66.05,14.44,7.21,163.6,1.47,0.39,1.09
14,Tetrastigma planicaule,4.0 cm,wood,LW22BR1,C2023-5309,411,8.66,0.47,90.06,74.89,24.05,53.56,11.08,7.36,176,1.24,0.41,1.54
14,Tetrastigma planicaule,4.0 cm,wood,LW22BR2,C2023-5310,400,9.46,0.59,91.47,77.39,26.47,65.83,14.2,7.1,159.4,1.41,0.32,1.35
18,Iodes vitiginea,2.0 cm,wood,LW23SR1,C2023-5311,465,9.61,0.02,91.05,76.82,30.13,28.8,3.55,1.15,65.1,1.27,0.21,0.52
18,Iodes vitiginea,2.0 cm,wood,LW23SR2,C2023-5312,473,8.34,0.04,90.64,76.44,30.72,17.56,5.6,1.01,16.7,1.11,0.2,0.72
18,Iodes vitiginea,4.0 cm,wood,LW23BR1,C2023-5313,472,9.79,0.03,88.9,74.58,28.96,23.96,3.33,1.05,51,1.25,0.23,0.62
18,Iodes vitiginea,4.0 cm,wood,LW23BR2,C2023-5314,461,9.2,0.01,90.06,75.68,29.46,28.45,3.58,1.14,65.3,1.24,0.28,0.21
19,Cheniella touranensis,2.0 cm,wood,LW24SR1,C2023-5315,458,8.19,0.83,82.73,67.22,16.11,27.46,5.02,1.23,49.2,0.64,0.57,0.51
19,Cheniella touranensis,2.0 cm,wood,LW24SR2,C2023-5316,457,7.42,0.95,84.66,70.47,12.63,23.24,4.82,1.26,55.2,0.6,0.58,0.82
19,Cheniella touranensis,4.0 cm,wood,LW24BR1,C2023-5317,462,8.11,0.41,84.51,70.46,14.74,23.68,4.87,1.2,43.2,0.66,0.48,0.62
19,Cheniella touranensis,4.0 cm,wood,LW24BR2,C2023-5318,464,7.21,0.94,85.23,71.6,12.46,20.4,4.82,1.26,52.2,0.58,0.53,0.83
